Year,MDB,Region,Industry,Area_watered,L_meta,Volume_applied,W_meta,Tree_br,Tree_nbr,K_Almonds,K_meta
2016,sMDB,NSW Lower Darling,Pastures - Hay,374,4,925,4,NA,NA,NA,NA
2017,sMDB,NSW Lower Darling,Pastures - Hay,409,1,1510,1,NA,NA,NA,NA
2018,sMDB,NSW Lower Darling,Pastures - Hay,96,1,406,1,NA,NA,NA,NA
2019,sMDB,NSW Lower Darling,Pastures - Hay,654,2,1231,2,NA,NA,NA,NA
2020,sMDB,NSW Lower Darling,Pastures - Hay,574,4,1442,4,NA,NA,NA,NA
2006,sMDB,NSW Lower Darling,Rice,0,7,0,7,NA,NA,NA,NA
2007,sMDB,NSW Lower Darling,Rice,0,7,0,7,NA,NA,NA,NA
2008,sMDB,NSW Lower Darling,Rice,0,7,0,7,NA,NA,NA,NA
2009,sMDB,NSW Lower Darling,Rice,0,7,0,7,NA,NA,NA,NA
2010,sMDB,NSW Lower Darling,Rice,0,7,0,7,NA,NA,NA,NA
2011,sMDB,NSW Lower Darling,Rice,0,7,0,7,NA,NA,NA,NA
2012,sMDB,NSW Lower Darling,Rice,0,7,0,7,NA,NA,NA,NA
2013,sMDB,NSW Lower Darling,Rice,0,7,0,7,NA,NA,NA,NA
2014,sMDB,NSW Lower Darling,Rice,0,7,0,7,NA,NA,NA,NA
2015,sMDB,NSW Lower Darling,Rice,0,7,0,7,NA,NA,NA,NA
2016,sMDB,NSW Lower Darling,Rice,0,7,0,7,NA,NA,NA,NA
2017,sMDB,NSW Lower Darling,Rice,0,7,0,7,NA,NA,NA,NA
2018,sMDB,NSW Lower Darling,Rice,0,7,0,7,NA,NA,NA,NA
2019,sMDB,NSW Lower Darling,Rice,0,7,0,7,NA,NA,NA,NA
2020,sMDB,NSW Lower Darling,Rice,0,7,0,7,NA,NA,NA,NA
2006,sMDB,NSW Lower Darling,Vegetables,433,2,1982,2,NA,NA,NA,NA
2007,sMDB,NSW Lower Darling,Vegetables,433,2,1982,2,NA,NA,NA,NA
2008,sMDB,NSW Lower Darling,Vegetables,433,2,1981,2,NA,NA,NA,NA
2009,sMDB,NSW Lower Darling,Vegetables,433,2,1982,2,NA,NA,NA,NA
2010,sMDB,NSW Lower Darling,Vegetables,433,2,1982,2,NA,NA,NA,NA
2011,sMDB,NSW Lower Darling,Vegetables,433,1,1981,1,NA,NA,NA,NA
2012,sMDB,NSW Lower Darling,Vegetables,507,1,4156,1,NA,NA,NA,NA
2013,sMDB,NSW Lower Darling,Vegetables,511,3,3101,4,NA,NA,NA,NA
2014,sMDB,NSW Lower Darling,Vegetables,514,1,3015,1,NA,NA,NA,NA
2015,sMDB,NSW Lower Darling,Vegetables,475,3,2814,4,NA,NA,NA,NA
2016,sMDB,NSW Lower Darling,Vegetables,435,1,2626,1,NA,NA,NA,NA
2017,sMDB,NSW Lower Darling,Vegetables,718,1,3476,1,NA,NA,NA,NA
2018,sMDB,NSW Lower Darling,Vegetables,775,1,5372,1,NA,NA,NA,NA
2019,sMDB,NSW Lower Darling,Vegetables,758,2,5812,2,NA,NA,NA,NA
2020,sMDB,NSW Lower Darling,Vegetables,478,2,4369,2,NA,NA,NA,NA
2006,nMDB,NSW Macquarie-Castlereagh,All other crops,6515,2,14051,2,NA,NA,NA,NA
2007,nMDB,NSW Macquarie-Castlereagh,All other crops,NA,6,NA,6,NA,NA,NA,NA
2008,nMDB,NSW Macquarie-Castlereagh,All other crops,NA,6,53266,9,NA,NA,NA,NA
2009,nMDB,NSW Macquarie-Castlereagh,All other crops,NA,6,50801,2,NA,NA,NA,NA
2010,nMDB,NSW Macquarie-Castlereagh,All other crops,14466,9,34840,9,NA,NA,NA,NA
2011,nMDB,NSW Macquarie-Castlereagh,All other crops,7552,1,21385,1,NA,NA,NA,NA
2012,nMDB,NSW Macquarie-Castlereagh,All other crops,NA,6,NA,6,NA,NA,NA,NA
2013,nMDB,NSW Macquarie-Castlereagh,All other crops,16451,1,47008,1,NA,NA,NA,NA
2014,nMDB,NSW Macquarie-Castlereagh,All other crops,3531,9,14011,9,NA,NA,NA,NA
2015,nMDB,NSW Macquarie-Castlereagh,All other crops,32251,1,43260,1,NA,NA,NA,NA
2016,nMDB,NSW Macquarie-Castlereagh,All other crops,5048,1,7497,1,NA,NA,NA,NA
2017,nMDB,NSW Macquarie-Castlereagh,All other crops,NA,6,NA,6,NA,NA,NA,NA
2018,nMDB,NSW Macquarie-Castlereagh,All other crops,2371,9,5984,9,NA,NA,NA,NA
2019,nMDB,NSW Macquarie-Castlereagh,All other crops,NA,6,NA,6,NA,NA,NA,NA
2020,nMDB,NSW Macquarie-Castlereagh,All other crops,4413,8,16189,8,NA,NA,NA,NA
2006,nMDB,NSW Macquarie-Castlereagh,Almonds,NA,6,NA,6,65,NA,1,1
2007,nMDB,NSW Macquarie-Castlereagh,Almonds,NA,6,NA,6,NA,NA,NA,6
2008,nMDB,NSW Macquarie-Castlereagh,Almonds,NA,6,NA,6,NA,NA,NA,6
2009,nMDB,NSW Macquarie-Castlereagh,Almonds,NA,6,NA,6,NA,NA,NA,6
2010,nMDB,NSW Macquarie-Castlereagh,Almonds,NA,6,NA,6,NA,NA,NA,6
2011,nMDB,NSW Macquarie-Castlereagh,Almonds,5,1,35,1,11,NA,1,1
2012,nMDB,NSW Macquarie-Castlereagh,Almonds,NA,6,NA,6,57,NA,1,1
2013,nMDB,NSW Macquarie-Castlereagh,Almonds,NA,6,NA,6,97,NA,1,1
2014,nMDB,NSW Macquarie-Castlereagh,Almonds,1,1,1,1,7,NA,1,1
2015,nMDB,NSW Macquarie-Castlereagh,Almonds,NA,6,NA,6,NA,NA,NA,6
2016,nMDB,NSW Macquarie-Castlereagh,Almonds,NA,6,NA,6,NA,NA,NA,6
2017,nMDB,NSW Macquarie-Castlereagh,Almonds,NA,6,NA,6,NA,NA,NA,6
2018,nMDB,NSW Macquarie-Castlereagh,Almonds,NA,6,NA,6,13,NA,1,1
2019,nMDB,NSW Macquarie-Castlereagh,Almonds,NA,6,NA,6,NA,NA,NA,6
2020,nMDB,NSW Macquarie-Castlereagh,Almonds,NA,6,NA,6,NA,NA,NA,6
2006,nMDB,NSW Macquarie-Castlereagh,Cotton,12243,2,102225,2,NA,NA,NA,NA
2007,nMDB,NSW Macquarie-Castlereagh,Cotton,9948,2,89325,2,NA,NA,NA,NA
2008,nMDB,NSW Macquarie-Castlereagh,Cotton,3223,2,22047,2,NA,NA,NA,NA
2009,nMDB,NSW Macquarie-Castlereagh,Cotton,5297,2,46023,2,NA,NA,NA,NA
2010,nMDB,NSW Macquarie-Castlereagh,Cotton,4995,2,33289,2,NA,NA,NA,NA
2011,nMDB,NSW Macquarie-Castlereagh,Cotton,13388,1,82890,1,NA,NA,NA,NA
2012,nMDB,NSW Macquarie-Castlereagh,Cotton,41933,1,232651,1,NA,NA,NA,NA
2013,nMDB,NSW Macquarie-Castlereagh,Cotton,42202,1,324008,1,NA,NA,NA,NA
2014,nMDB,NSW Macquarie-Castlereagh,Cotton,24387,1,215757,1,NA,NA,NA,NA
2015,nMDB,NSW Macquarie-Castlereagh,Cotton,8101,1,72325,1,NA,NA,NA,NA
2016,nMDB,NSW Macquarie-Castlereagh,Cotton,9871,1,76637,1,NA,NA,NA,NA
2017,nMDB,NSW Macquarie-Castlereagh,Cotton,22096,1,194926,1,NA,NA,NA,NA
2018,nMDB,NSW Macquarie-Castlereagh,Cotton,28422,1,256095,1,NA,NA,NA,NA
2019,nMDB,NSW Macquarie-Castlereagh,Cotton,19791,2,178328,2,NA,NA,NA,NA
2020,nMDB,NSW Macquarie-Castlereagh,Cotton,1997,2,13429,2,NA,NA,NA,NA
2006,nMDB,NSW Macquarie-Castlereagh,Fruit,NA,6,NA,6,NA,NA,NA,NA
2007,nMDB,NSW Macquarie-Castlereagh,Fruit,NA,6,NA,6,NA,NA,NA,NA
2008,nMDB,NSW Macquarie-Castlereagh,Fruit,NA,6,NA,6,NA,NA,NA,NA
2009,nMDB,NSW Macquarie-Castlereagh,Fruit,NA,6,NA,6,NA,NA,NA,NA
2010,nMDB,NSW Macquarie-Castlereagh,Fruit,NA,6,NA,6,NA,NA,NA,NA
2011,nMDB,NSW Macquarie-Castlereagh,Fruit,1247,1,2352,1,NA,NA,NA,NA
2012,nMDB,NSW Macquarie-Castlereagh,Fruit,571,1,1710,1,NA,NA,NA,NA
2013,nMDB,NSW Macquarie-Castlereagh,Fruit,994,1,7792,1,NA,NA,NA,NA
2014,nMDB,NSW Macquarie-Castlereagh,Fruit,1169,1,1544,1,NA,NA,NA,NA
2015,nMDB,NSW Macquarie-Castlereagh,Fruit,685,1,480,1,NA,NA,NA,NA
2016,nMDB,NSW Macquarie-Castlereagh,Fruit,947,1,2173,1,NA,NA,NA,NA
2017,nMDB,NSW Macquarie-Castlereagh,Fruit,972,1,1625,1,NA,NA,NA,NA
2018,nMDB,NSW Macquarie-Castlereagh,Fruit,723,1,943,1,NA,NA,NA,NA
2019,nMDB,NSW Macquarie-Castlereagh,Fruit,NA,6,NA,6,NA,NA,NA,NA
2020,nMDB,NSW Macquarie-Castlereagh,Fruit,NA,6,NA,6,NA,NA,NA,NA
2006,nMDB,NSW Macquarie-Castlereagh,Grapevines,5996,2,8791,2,NA,NA,NA,NA
2007,nMDB,NSW Macquarie-Castlereagh,Grapevines,5996,2,9363,2,NA,NA,NA,NA
2008,nMDB,NSW Macquarie-Castlereagh,Grapevines,6187,2,7597,2,NA,NA,NA,NA
2009,nMDB,NSW Macquarie-Castlereagh,Grapevines,5290,2,9339,2,NA,NA,NA,NA
2010,nMDB,NSW Macquarie-Castlereagh,Grapevines,3580,2,4835,2,NA,NA,NA,NA
2011,nMDB,NSW Macquarie-Castlereagh,Grapevines,2632,1,1626,1,NA,NA,NA,NA
2012,nMDB,NSW Macquarie-Castlereagh,Grapevines,1351,1,680,1,NA,NA,NA,NA
2013,nMDB,NSW Macquarie-Castlereagh,Grapevines,2078,1,2785,1,NA,NA,NA,NA
2014,nMDB,NSW Macquarie-Castlereagh,Grapevines,1280,1,1700,1,NA,NA,NA,NA
2015,nMDB,NSW Macquarie-Castlereagh,Grapevines,1268,1,1862,1,NA,NA,NA,NA
2016,nMDB,NSW Macquarie-Castlereagh,Grapevines,1433,1,1261,1,NA,NA,NA,NA
2017,nMDB,NSW Macquarie-Castlereagh,Grapevines,1119,1,1171,1,NA,NA,NA,NA
2018,nMDB,NSW Macquarie-Castlereagh,Grapevines,1002,1,1352,1,NA,NA,NA,NA
2019,nMDB,NSW Macquarie-Castlereagh,Grapevines,1533,2,2011,2,NA,NA,NA,NA
2020,nMDB,NSW Macquarie-Castlereagh,Grapevines,1195,2,2008,2,NA,NA,NA,NA
2006,nMDB,NSW Macquarie-Castlereagh,Pastures - Grazing,6003,2,16838,2,NA,NA,NA,NA
2007,nMDB,NSW Macquarie-Castlereagh,Pastures - Grazing,7015,2,20345,2,NA,NA,NA,NA
2008,nMDB,NSW Macquarie-Castlereagh,Pastures - Grazing,7227,2,29648,2,NA,NA,NA,NA
2009,nMDB,NSW Macquarie-Castlereagh,Pastures - Grazing,3211,2,6405,2,NA,NA,NA,NA
2010,nMDB,NSW Macquarie-Castlereagh,Pastures - Grazing,6315,2,13120,2,NA,NA,NA,NA
2011,nMDB,NSW Macquarie-Castlereagh,Pastures - Grazing,5792,1,13523,1,NA,NA,NA,NA
2012,nMDB,NSW Macquarie-Castlereagh,Pastures - Grazing,2195,1,6525,1,NA,NA,NA,NA
2013,nMDB,NSW Macquarie-Castlereagh,Pastures - Grazing,11180,2,19332,2,NA,NA,NA,NA
2014,nMDB,NSW Macquarie-Castlereagh,Pastures - Grazing,6231,2,5738,2,NA,NA,NA,NA
2015,nMDB,NSW Macquarie-Castlereagh,Pastures - Grazing,7346,1,8733,1,NA,NA,NA,NA
2016,nMDB,NSW Macquarie-Castlereagh,Pastures - Grazing,4167,2,9540,2,NA,NA,NA,NA
2017,nMDB,NSW Macquarie-Castlereagh,Pastures - Grazing,3470,1,11061,1,NA,NA,NA,NA
2018,nMDB,NSW Macquarie-Castlereagh,Pastures - Grazing,3912,1,6530,1,NA,NA,NA,NA
2019,nMDB,NSW Macquarie-Castlereagh,Pastures - Grazing,6573,2,15716,2,NA,NA,NA,NA
2020,nMDB,NSW Macquarie-Castlereagh,Pastures - Grazing,1394,2,4474,2,NA,NA,NA,NA
2006,nMDB,NSW Macquarie-Castlereagh,Pastures - Hay,6245,2,20954,2,NA,NA,NA,NA
2007,nMDB,NSW Macquarie-Castlereagh,Pastures - Hay,7137,2,36808,2,NA,NA,NA,NA
2008,nMDB,NSW Macquarie-Castlereagh,Pastures - Hay,6284,2,26425,2,NA,NA,NA,NA
2009,nMDB,NSW Macquarie-Castlereagh,Pastures - Hay,4206,2,17972,2,NA,NA,NA,NA
2010,nMDB,NSW Macquarie-Castlereagh,Pastures - Hay,4913,2,23010,2,NA,NA,NA,NA
2011,nMDB,NSW Macquarie-Castlereagh,Pastures - Hay,3117,1,12564,1,NA,NA,NA,NA
2012,nMDB,NSW Macquarie-Castlereagh,Pastures - Hay,3742,1,15003,1,NA,NA,NA,NA
2013,nMDB,NSW Macquarie-Castlereagh,Pastures - Hay,3168,1,16841,1,NA,NA,NA,NA
2014,nMDB,NSW Macquarie-Castlereagh,Pastures - Hay,2862,1,8495,1,NA,NA,NA,NA
2015,nMDB,NSW Macquarie-Castlereagh,Pastures - Hay,3771,1,16245,1,NA,NA,NA,NA
2016,nMDB,NSW Macquarie-Castlereagh,Pastures - Hay,2245,1,10073,1,NA,NA,NA,NA
2017,nMDB,NSW Macquarie-Castlereagh,Pastures - Hay,NA,6,NA,6,NA,NA,NA,NA
2018,nMDB,NSW Macquarie-Castlereagh,Pastures - Hay,1756,1,6877,1,NA,NA,NA,NA
2019,nMDB,NSW Macquarie-Castlereagh,Pastures - Hay,7174,2,27941,2,NA,NA,NA,NA
2020,nMDB,NSW Macquarie-Castlereagh,Pastures - Hay,4466,2,18476,2,NA,NA,NA,NA
2006,nMDB,NSW Macquarie-Castlereagh,Rice,NA,6,NA,6,NA,NA,NA,NA
2007,nMDB,NSW Macquarie-Castlereagh,Rice,0,2,0,2,NA,NA,NA,NA
2008,nMDB,NSW Macquarie-Castlereagh,Rice,0,2,0,2,NA,NA,NA,NA
2009,nMDB,NSW Macquarie-Castlereagh,Rice,0,2,0,2,NA,NA,NA,NA
2010,nMDB,NSW Macquarie-Castlereagh,Rice,NA,6,NA,6,NA,NA,NA,NA
2011,nMDB,NSW Macquarie-Castlereagh,Rice,NA,6,NA,6,NA,NA,NA,NA
2012,nMDB,NSW Macquarie-Castlereagh,Rice,NA,6,NA,6,NA,NA,NA,NA
2013,nMDB,NSW Macquarie-Castlereagh,Rice,NA,6,NA,6,NA,NA,NA,NA
2014,nMDB,NSW Macquarie-Castlereagh,Rice,NA,6,NA,6,NA,NA,NA,NA
2015,nMDB,NSW Macquarie-Castlereagh,Rice,NA,6,NA,6,NA,NA,NA,NA
2016,nMDB,NSW Macquarie-Castlereagh,Rice,NA,6,NA,6,NA,NA,NA,NA
2017,nMDB,NSW Macquarie-Castlereagh,Rice,NA,6,NA,6,NA,NA,NA,NA
2018,nMDB,NSW Macquarie-Castlereagh,Rice,NA,6,NA,6,NA,NA,NA,NA
2019,nMDB,NSW Macquarie-Castlereagh,Rice,NA,6,NA,6,NA,NA,NA,NA
2020,nMDB,NSW Macquarie-Castlereagh,Rice,NA,6,NA,6,NA,NA,NA,NA
2006,nMDB,NSW Macquarie-Castlereagh,Vegetables,1000,2,4536,2,NA,NA,NA,NA
2007,nMDB,NSW Macquarie-Castlereagh,Vegetables,1995,2,5436,2,NA,NA,NA,NA
2008,nMDB,NSW Macquarie-Castlereagh,Vegetables,1656,2,5236,2,NA,NA,NA,NA
2009,nMDB,NSW Macquarie-Castlereagh,Vegetables,1106,2,3569,2,NA,NA,NA,NA
2010,nMDB,NSW Macquarie-Castlereagh,Vegetables,1002,2,3925,2,NA,NA,NA,NA
2011,nMDB,NSW Macquarie-Castlereagh,Vegetables,981,1,3162,1,NA,NA,NA,NA
2012,nMDB,NSW Macquarie-Castlereagh,Vegetables,1375,1,2920,1,NA,NA,NA,NA
2013,nMDB,NSW Macquarie-Castlereagh,Vegetables,NA,6,NA,6,NA,NA,NA,NA
2014,nMDB,NSW Macquarie-Castlereagh,Vegetables,NA,6,NA,6,NA,NA,NA,NA
2015,nMDB,NSW Macquarie-Castlereagh,Vegetables,473,1,1563,1,NA,NA,NA,NA
2016,nMDB,NSW Macquarie-Castlereagh,Vegetables,923,1,2491,1,NA,NA,NA,NA
2017,nMDB,NSW Macquarie-Castlereagh,Vegetables,1316,1,5802,1,NA,NA,NA,NA
2018,nMDB,NSW Macquarie-Castlereagh,Vegetables,2011,1,14780,1,NA,NA,NA,NA
2019,nMDB,NSW Macquarie-Castlereagh,Vegetables,NA,6,NA,6,NA,NA,NA,NA
2020,nMDB,NSW Macquarie-Castlereagh,Vegetables,1022,2,4505,2,NA,NA,NA,NA
2006,sMDB,NSW Murray Above,All other crops,48356,2,92161,2,NA,NA,NA,NA
2007,sMDB,NSW Murray Above,All other crops,32883,8,49449,8,NA,NA,NA,NA
2008,sMDB,NSW Murray Above,All other crops,8370,8,14453,4,NA,NA,NA,NA
2009,sMDB,NSW Murray Above,All other crops,10457,8,20075,4,NA,NA,NA,NA
2010,sMDB,NSW Murray Above,All other crops,29712,8,40049,8,NA,NA,NA,NA
2011,sMDB,NSW Murray Above,All other crops,26350,1,33404,1,NA,NA,NA,NA
2012,sMDB,NSW Murray Above,All other crops,33070,1,55693,1,NA,NA,NA,NA
2013,sMDB,NSW Murray Above,All other crops,46717,1,93654,1,NA,NA,NA,NA
2014,sMDB,NSW Murray Above,All other crops,48235,1,111366,1,NA,NA,NA,NA
2015,sMDB,NSW Murray Above,All other crops,48975,1,91591,1,NA,NA,NA,NA
2016,sMDB,NSW Murray Above,All other crops,58179,1,90440,1,NA,NA,NA,NA
2017,sMDB,NSW Murray Above,All other crops,48789,1,83211,1,NA,NA,NA,NA
2018,sMDB,NSW Murray Above,All other crops,66421,1,109208,1,NA,NA,NA,NA
2019,sMDB,NSW Murray Above,All other crops,58942,2,108465,2,NA,NA,NA,NA
2020,sMDB,NSW Murray Above,All other crops,25993,8,39359,8,NA,NA,NA,NA
2006,sMDB,NSW Murray Above,Almonds,0,7,0,7,0,0,0,7
2007,sMDB,NSW Murray Above,Almonds,0,7,0,7,0,0,0,7
2008,sMDB,NSW Murray Above,Almonds,0,7,0,7,0,0,0,7
2009,sMDB,NSW Murray Above,Almonds,0,7,0,7,0,0,0,7
2010,sMDB,NSW Murray Above,Almonds,0,7,0,7,0,0,0,7
2011,sMDB,NSW Murray Above,Almonds,0,7,0,7,0,0,0,7
2012,sMDB,NSW Murray Above,Almonds,0,7,0,7,0,0,0,7
2013,sMDB,NSW Murray Above,Almonds,0,7,0,7,0,0,0,7
2014,sMDB,NSW Murray Above,Almonds,0,7,0,7,0,0,0,7
2015,sMDB,NSW Murray Above,Almonds,0,7,0,7,0,0,0,7
2016,sMDB,NSW Murray Above,Almonds,0,7,0,7,0,0,0,7
2017,sMDB,NSW Murray Above,Almonds,0,7,0,7,0,0,0,7
2018,sMDB,NSW Murray Above,Almonds,0,7,0,7,0,0,0,7
2019,sMDB,NSW Murray Above,Almonds,0,7,0,7,0,0,0,7
2020,sMDB,NSW Murray Above,Almonds,0,7,0,7,0,0,0,7
2006,sMDB,NSW Murray Above,Cotton,111,4,857,4,NA,NA,NA,NA
2007,sMDB,NSW Murray Above,Cotton,89,4,574,4,NA,NA,NA,NA
2008,sMDB,NSW Murray Above,Cotton,49,4,168,4,NA,NA,NA,NA
2009,sMDB,NSW Murray Above,Cotton,95,4,573,4,NA,NA,NA,NA
2010,sMDB,NSW Murray Above,Cotton,113,4,682,4,NA,NA,NA,NA
2011,sMDB,NSW Murray Above,Cotton,134,4,803,4,NA,NA,NA,NA
2012,sMDB,NSW Murray Above,Cotton,200,1,1551,1,NA,NA,NA,NA
2013,sMDB,NSW Murray Above,Cotton,312,1,2600,1,NA,NA,NA,NA
2014,sMDB,NSW Murray Above,Cotton,407,1,3559,1,NA,NA,NA,NA
2015,sMDB,NSW Murray Above,Cotton,250,1,1732,1,NA,NA,NA,NA
2016,sMDB,NSW Murray Above,Cotton,435,1,3629,1,NA,NA,NA,NA
2017,sMDB,NSW Murray Above,Cotton,500,1,4448,1,NA,NA,NA,NA
2018,sMDB,NSW Murray Above,Cotton,390,1,3128,1,NA,NA,NA,NA
2019,sMDB,NSW Murray Above,Cotton,1135,2,9675,2,NA,NA,NA,NA
2020,sMDB,NSW Murray Above,Cotton,599,2,4795,2,NA,NA,NA,NA
2006,sMDB,NSW Murray Above,Fruit,563,2,2967,4,NA,NA,NA,NA
2007,sMDB,NSW Murray Above,Fruit,563,2,3207,4,NA,NA,NA,NA
2008,sMDB,NSW Murray Above,Fruit,376,2,2155,4,NA,NA,NA,NA
2009,sMDB,NSW Murray Above,Fruit,477,2,2794,4,NA,NA,NA,NA
2010,sMDB,NSW Murray Above,Fruit,457,2,2380,4,NA,NA,NA,NA
2011,sMDB,NSW Murray Above,Fruit,234,1,876,7,NA,NA,NA,NA
2012,sMDB,NSW Murray Above,Fruit,480,1,2863,7,NA,NA,NA,NA
2013,sMDB,NSW Murray Above,Fruit,277,1,1969,7,NA,NA,NA,NA
2014,sMDB,NSW Murray Above,Fruit,281,1,1900,7,NA,NA,NA,NA
2015,sMDB,NSW Murray Above,Fruit,120,1,453,7,NA,NA,NA,NA
2016,sMDB,NSW Murray Above,Fruit,114,7,698,7,NA,NA,NA,NA
2017,sMDB,NSW Murray Above,Fruit,114,7,900,7,NA,NA,NA,NA
2018,sMDB,NSW Murray Above,Fruit,114,7,401,7,NA,NA,NA,NA
2019,sMDB,NSW Murray Above,Fruit,114,7,771,4,NA,NA,NA,NA
2020,sMDB,NSW Murray Above,Fruit,114,7,742,4,NA,NA,NA,NA
2006,sMDB,NSW Murray Above,Grapevines,603,2,2152,2,NA,NA,NA,NA
2007,sMDB,NSW Murray Above,Grapevines,302,2,1453,2,NA,NA,NA,NA
2008,sMDB,NSW Murray Above,Grapevines,391,2,1134,2,NA,NA,NA,NA
2009,sMDB,NSW Murray Above,Grapevines,424,2,1207,2,NA,NA,NA,NA
2010,sMDB,NSW Murray Above,Grapevines,591,3,1160,2,NA,NA,NA,NA
2011,sMDB,NSW Murray Above,Grapevines,758,1,845,1,NA,NA,NA,NA
2012,sMDB,NSW Murray Above,Grapevines,373,1,1451,1,NA,NA,NA,NA
2013,sMDB,NSW Murray Above,Grapevines,412,1,1680,4,NA,NA,NA,NA
2014,sMDB,NSW Murray Above,Grapevines,524,1,1740,1,NA,NA,NA,NA
2015,sMDB,NSW Murray Above,Grapevines,583,1,1639,1,NA,NA,NA,NA
2016,sMDB,NSW Murray Above,Grapevines,595,1,2243,1,NA,NA,NA,NA
2017,sMDB,NSW Murray Above,Grapevines,833,1,1942,1,NA,NA,NA,NA
2018,sMDB,NSW Murray Above,Grapevines,596,1,2312,1,NA,NA,NA,NA
2019,sMDB,NSW Murray Above,Grapevines,536,2,2545,2,NA,NA,NA,NA
2020,sMDB,NSW Murray Above,Grapevines,488,2,2612,2,NA,NA,NA,NA
2006,sMDB,NSW Murray Above,Pastures - Grazing,83083,2,226098,2,NA,NA,NA,NA
2007,sMDB,NSW Murray Above,Pastures - Grazing,32640,2,85151,2,NA,NA,NA,NA
2008,sMDB,NSW Murray Above,Pastures - Grazing,19705,2,49591,2,NA,NA,NA,NA
2009,sMDB,NSW Murray Above,Pastures - Grazing,23573,2,63382,2,NA,NA,NA,NA
2010,sMDB,NSW Murray Above,Pastures - Grazing,40877,2,76957,2,NA,NA,NA,NA
2011,sMDB,NSW Murray Above,Pastures - Grazing,28918,1,54915,1,NA,NA,NA,NA
2012,sMDB,NSW Murray Above,Pastures - Grazing,45656,1,72401,1,NA,NA,NA,NA
2013,sMDB,NSW Murray Above,Pastures - Grazing,71789,1,242100,1,NA,NA,NA,NA
2014,sMDB,NSW Murray Above,Pastures - Grazing,46912,1,125218,1,NA,NA,NA,NA
2015,sMDB,NSW Murray Above,Pastures - Grazing,42250,1,111773,1,NA,NA,NA,NA
2016,sMDB,NSW Murray Above,Pastures - Grazing,52751,1,106777,1,NA,NA,NA,NA
2017,sMDB,NSW Murray Above,Pastures - Grazing,51384,1,94118,1,NA,NA,NA,NA
2018,sMDB,NSW Murray Above,Pastures - Grazing,51383,1,109921,1,NA,NA,NA,NA
2019,sMDB,NSW Murray Above,Pastures - Grazing,38394,2,87989,2,NA,NA,NA,NA
2020,sMDB,NSW Murray Above,Pastures - Grazing,14779,2,35894,2,NA,NA,NA,NA
2006,sMDB,NSW Murray Above,Pastures - Hay,37640,2,125187,2,NA,NA,NA,NA
2007,sMDB,NSW Murray Above,Pastures - Hay,29626,2,85167,2,NA,NA,NA,NA
2008,sMDB,NSW Murray Above,Pastures - Hay,8891,2,27449,2,NA,NA,NA,NA
2009,sMDB,NSW Murray Above,Pastures - Hay,9139,2,28602,2,NA,NA,NA,NA
2010,sMDB,NSW Murray Above,Pastures - Hay,14501,2,36801,2,NA,NA,NA,NA
2011,sMDB,NSW Murray Above,Pastures - Hay,8050,1,15840,1,NA,NA,NA,NA
2012,sMDB,NSW Murray Above,Pastures - Hay,10814,1,25812,1,NA,NA,NA,NA
2013,sMDB,NSW Murray Above,Pastures - Hay,13940,1,55616,1,NA,NA,NA,NA
2014,sMDB,NSW Murray Above,Pastures - Hay,12469,1,40218,1,NA,NA,NA,NA
2015,sMDB,NSW Murray Above,Pastures - Hay,10997,1,45033,1,NA,NA,NA,NA
2016,sMDB,NSW Murray Above,Pastures - Hay,13664,1,38773,1,NA,NA,NA,NA
2017,sMDB,NSW Murray Above,Pastures - Hay,17003,1,43092,1,NA,NA,NA,NA
2018,sMDB,NSW Murray Above,Pastures - Hay,13111,1,41779,1,NA,NA,NA,NA
2019,sMDB,NSW Murray Above,Pastures - Hay,15894,2,34987,2,NA,NA,NA,NA
2020,sMDB,NSW Murray Above,Pastures - Hay,12422,2,23941,2,NA,NA,NA,NA
2006,sMDB,NSW Murray Above,Rice,27462,2,325030,2,NA,NA,NA,NA
2007,sMDB,NSW Murray Above,Rice,2441,2,23000,2,NA,NA,NA,NA
2008,sMDB,NSW Murray Above,Rice,356,2,3976,2,NA,NA,NA,NA
2009,sMDB,NSW Murray Above,Rice,715,2,9188,2,NA,NA,NA,NA
2010,sMDB,NSW Murray Above,Rice,11184,4,127163,4,NA,NA,NA,NA
2011,sMDB,NSW Murray Above,Rice,20818,1,197487,1,NA,NA,NA,NA
2012,sMDB,NSW Murray Above,Rice,28209,1,305531,1,NA,NA,NA,NA
2013,sMDB,NSW Murray Above,Rice,38692,1,473492,1,NA,NA,NA,NA
2014,sMDB,NSW Murray Above,Rice,30649,1,353410,1,NA,NA,NA,NA
2015,sMDB,NSW Murray Above,Rice,22745,1,283351,1,NA,NA,NA,NA
2016,sMDB,NSW Murray Above,Rice,4173,1,49708,1,NA,NA,NA,NA
2017,sMDB,NSW Murray Above,Rice,29621,1,338690,1,NA,NA,NA,NA
2018,sMDB,NSW Murray Above,Rice,20714,1,257846,1,NA,NA,NA,NA
2019,sMDB,NSW Murray Above,Rice,1909,2,15637,2,NA,NA,NA,NA
2020,sMDB,NSW Murray Above,Rice,338,2,4740,2,NA,NA,NA,NA
2006,sMDB,NSW Murray Above,Vegetables,695,2,4546,2,NA,NA,NA,NA
2007,sMDB,NSW Murray Above,Vegetables,695,2,3902,2,NA,NA,NA,NA
2008,sMDB,NSW Murray Above,Vegetables,330,2,1990,2,NA,NA,NA,NA
