Year,Region,R,E_High,E_Low,E_Supp,a_High,a_Low,UCF_Low,A_High,A_Low,A_Supp,F_Low,F_High,F_Env,G_Low,G_High,G_Env,C_Low,C_High,C_Env,B_buyback_High,B_buyback_Low,B_buyback_Supp,B_onfarm_High,B_onfarm_Low,B_onfarm_Supp,B_offfarm_High,B_offfarm_Low,B_offfarm_Supp,D_High,D_Low,D_Supp,P,T_Irrig,T_Env,U
2006,NSW Murrumbidgee,300,359412,1891995,945780,95%,54%,187302.00,341441,1021677,88931,51730,11860,NA,0,0,NA,160109,-83,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,53,-5896,0,1459606
2007,NSW Murrumbidgee,204,359412,1891995,945780,90%,15%,0.00,323471,283799,0,91825,13916,NA,0,0,NA,270308,-22,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,334,-96788,0,571750
2008,NSW Murrumbidgee,271,359412,1891995,945780,100%,21%,0.00,359412,387859,0,13,0,NA,1,1,NA,50421,52856,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,778,-139096,0,487851
2009,NSW Murrumbidgee,222,359412,1891995,945780,95%,21%,0.00,341082,397319,1649,24,0,NA,0,0,NA,205044,18542,NA,0,47806,20820,0,0,0,0,0,0,0%,3%,2%,458,-390147,0,342387
2010,NSW Murrumbidgee,375,359412,1891995,945780,95%,27%,21916.30,341441,510839,23552,13419,2356,NA,0,0,NA,221826,-398,NA,103,75074,20820,0,0,0,0,0,0,0%,4%,2%,224,-111185,0,498565
2011,NSW Murrumbidgee,698,359412,1891995,945780,100%,75%,0.00,357974,1418996,167762,9731,22,NA,686770,13637,NA,481574,1161,NA,103,128441,20820,125,8000,0,389,7579,0,0%,7%,2%,33,-61485,0,1100740
2012,NSW Murrumbidgee,482,359412,1891995,945780,100%,74%,338.30,359412,1403860,139786,535,0,NA,382103,10023,NA,500444,-16,NA,3736,183432,20820,6056,8895,0,389,7579,0,3%,10%,2%,19,5973,0,1390134
2013,NSW Murrumbidgee,217,359412,1891995,945780,100%,73%,0.00,359412,1381156,250260,0,0,NA,48550,6116,NA,511706,0,NA,4515,186699,20820,6056,8895,0,2154,33863,0,3%,10%,2%,48,-3003,0,1933242
2014,NSW Murrumbidgee,294,359412,1891995,945780,95%,63%,40547.30,341441,1191957,106477,0,0,NA,26588,4107,NA,340254,-21,NA,4515,198223,20820,6765,24052,0,2154,33863,381000,3%,12%,2%,76,-65110,0,1303282
2015,NSW Murrumbidgee,254,359412,1891995,945780,95%,53%,28014.40,341441,1002757,151041,0,0,NA,9854,1348,NA,483845,-12,NA,4515,198223,20820,6765,26473,0,2154,33863,381000,3%,12%,2%,119,-31101,0,1386625
2016,NSW Murrumbidgee,341,359412,1891995,945780,95%,37%,78930.80,341441,700038,156629,0,0,NA,5570,2334,NA,437402,-3,NA,4515,198223,20820,7169,42035,0,2154,35623,382166,3%,13%,2%,215,-207314,0,1008690
2017,NSW Murrumbidgee,424,359412,1891995,945780,100%,81%,839.00,359412,1532516,166700,0,0,NA,169259,11883,NA,369186,-2,NA,4515,198223,32937,7675,52190,0,2154,35623,382166,3%,13%,3%,48,-47350,0,1511621
2018,NSW Murrumbidgee,291,359412,1891995,945780,95%,45%,20574.60,341441,851398,50318,0,0,NA,5813,1368,NA,509366,-424,NA,4515,198223,32937,7675,52620,0,2154,35623,382166,3%,13%,3%,145,99111,0,1323720
2019,NSW Murrumbidgee,248,359412,1891995,945780,95%,7%,0.00,341441,132440,0,0,0,NA,623,1168,NA,398015,-2,NA,4515,198223,32937,7675,52620,0,2154,35623,382166,3%,13%,3%,458,-42405,0,614444
2020,NSW Murrumbidgee,304,359412,1891995,945780,95%,11%,16602.00,341441,208119,11844,0,0,NA,799,1356,NA,151721,-143,NA,4515,198223,32937,7675,52620,0,2154,35623,382166,3%,13%,3%,581,-132859,0,230599
2021,NSW Murrumbidgee,363,359412,1891995,945780,100%,100%,0.00,359412,1891995,0,348424,0,NA,0,0,NA,348424,-3,NA,4515,198223,32937,7675,52620,0,2154,35623,382166,3%,13%,3%,95,0,0,1635383
2001,NSW Namoi,630,3498,256212,115479,200%,118%,0.00,6996,303355,0,0,0,NA,0,0,NA,333098,6363,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,222475
2002,NSW Namoi,383,3498,256212,115479,200%,52%,0.00,6996,132205,0,0,0,NA,0,0,NA,421429,5908,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,288616
2003,NSW Namoi,379,3498,256212,115479,200%,0%,0.00,6996,0,0,0,0,NA,0,0,NA,275746,2176,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,260263
2004,NSW Namoi,582,3498,256212,115479,200%,47%,0.00,6996,119139,0,0,0,NA,0,0,NA,24323,332,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,35457
2005,NSW Namoi,539,3498,256212,115479,100%,17%,0.00,3498,44735,0,995,0,NA,0,0,NA,115333,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,133,0,0,64477
2006,NSW Namoi,475,3498,256212,115479,100%,34%,0.00,3498,85897,0,1542,0,NA,0,0,NA,98105,-11,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,127,0,0,124452
2007,NSW Namoi,352,3498,256212,115479,100%,4%,0.00,3498,9736,0,1415,0,NA,1883,209,NA,61516,-21,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,159,0,0,62960
2008,NSW Namoi,514,3498,256212,115479,100%,15%,611.00,3498,38387,28691,1078,0,NA,1359,221,NA,8268,-6,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,121,0,0,48022
2009,NSW Namoi,612,3498,256212,115479,100%,25%,0.00,3498,63281,0,1263,0,NA,1452,189,NA,28770,0,NA,0,4805,0,0,0,0,0,0,0,0%,2%,0%,118,0,0,30028
2010,NSW Namoi,565,3498,256212,115479,100%,2%,0.00,3498,6346,39786,831,3,NA,426,176,NA,62107,0,NA,0,6203,0,0,0,0,0,0,0,0%,2%,0%,184,0,0,71956
2011,NSW Namoi,657,3498,256212,115479,100%,109%,0.00,3498,279135,86803,16162,0,NA,467,195,NA,37630,0,NA,0,6203,0,0,0,0,0,0,0,0%,2%,0%,135,0,0,133758
2012,NSW Namoi,785,3498,256212,115479,100%,104%,0.00,3498,266036,59857,206485,0,NA,1746,230,NA,255400,0,NA,0,6203,0,0,7450,0,0,0,0,0%,5%,0%,132,0,0,0
2013,NSW Namoi,373,3498,256212,115479,100%,33%,0.00,3498,83652,46463,213944,0,NA,332,203,NA,450985,0,NA,0,6203,0,0,7450,0,0,0,0,0%,5%,0%,121,0,0,63227
2014,NSW Namoi,331,3498,256212,115479,100%,10%,0.00,3498,25006,17374,34697,0,NA,133,420,NA,306134,0,NA,0,6203,0,0,7450,0,0,0,0,0%,5%,0%,145,0,0,226529
2015,NSW Namoi,439,3498,256212,115479,100%,4%,0.00,3498,9666,0,2589,0,NA,286,406,NA,78634,0,NA,0,6203,0,0,7450,0,0,0,0,0%,5%,0%,239,0,0,59197
2016,NSW Namoi,412,3498,256212,115479,100%,2%,229.40,3498,5805,18338,1755,0,NA,228,208,NA,26162,0,NA,0,6203,0,0,7450,0,0,0,0,0%,5%,0%,218,0,0,32790
2017,NSW Namoi,563,3498,256212,115479,100%,122%,0.00,3498,313380,74929,16963,0,NA,164,200,NA,18423,0,NA,0,6203,0,0,7450,0,0,0,0,0%,5%,0%,139,0,0,190518
2018,NSW Namoi,313,3498,256212,115479,100%,11%,0.00,3498,27481,0,30439,0,NA,123,192,NA,196064,0,NA,0,6203,0,0,7450,0,0,0,0,0%,5%,0%,238,0,0,140480
2019,NSW Namoi,356,3498,256212,115479,100%,100%,0.00,3498,256212,0,6815,0,NA,443,922,NA,48087,0,NA,0,6203,0,0,7450,0,0,0,0,0%,5%,0%,245,0,0,269452
2020,NSW Namoi,463,3498,256212,115479,100%,50%,0.00,3498,128106,0,0,0,NA,390,1158,NA,15144,0,NA,0,6203,0,0,7450,0,0,0,0,0%,5%,0%,265,0,0,119145
2021,NSW Namoi,653,3498,256212,115479,100%,100%,0.00,3498,256212,0,19480,0,NA,0,0,NA,19480,0,NA,0,6203,0,0,7450,0,0,0,0,0%,5%,0%,208,0,0,38834
2001,SA Murray,216,564496,0,0,100%,0%,0.00,564496,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,24,3255,0,567751
2002,SA Murray,212,564496,0,0,100%,0%,0.00,564496,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,64,-7261,0,557235
2003,SA Murray,169,564496,0,0,100%,0%,0.00,564496,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,310,-9001,0,555495
2004,SA Murray,187,564496,0,0,95%,0%,0.00,536271,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,138,6010,0,542281
2005,SA Murray,216,564496,0,0,95%,0%,0.00,536271,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,102,-1630,0,534641
2006,SA Murray,294,564496,0,0,100%,0%,0.00,564496,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,69,-24290,0,540206
2007,SA Murray,202,564496,0,0,60%,0%,0.00,338698,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,483,40128,0,378826
2008,SA Murray,158,564496,0,0,32%,0%,0.00,180639,0,0,0,0,NA,0,0,NA,0,0,NA,290,0,0,0,0,0,0,0,0,0%,0%,0%,721,144375,0,324921
2009,SA Murray,171,564496,0,0,18%,0%,0.00,101609,0,0,0,0,NA,0,0,NA,0,0,NA,5894,0,0,0,0,0,0,0,0,1%,0%,0%,466,336263,0,436811
2010,SA Murray,307,564496,0,0,62%,0%,0.00,349988,0,0,0,0,NA,0,0,NA,0,0,NA,41162,0,0,0,0,0,0,0,0,7%,0%,0%,259,252535,0,404302
2011,SA Murray,524,564496,0,0,67%,0%,0.00,378212,0,0,0,0,NA,0,0,NA,0,186284,NA,70217,0,0,356,0,0,5814,0,0,13%,0%,0%,40,-162450,0,331473
2012,SA Murray,305,564496,0,0,100%,0%,0.00,564496,0,0,0,0,NA,0,0,NA,0,0,NA,94779,0,0,3050,0,0,8143,0,0,17%,0%,0%,25,-75460,0,391207
2013,SA Murray,145,564496,0,0,100%,0%,0.00,564496,0,0,0,0,NA,0,0,NA,0,0,NA,95933,0,0,3050,0,0,8243,0,0,18%,0%,0%,47,-7073,0,458440
2014,SA Murray,272,564496,0,0,100%,0%,0.00,564496,0,0,0,0,NA,0,0,NA,0,0,NA,95933,0,0,15295,0,0,8243,0,0,20%,0%,0%,79,-64568,0,388700
2015,SA Murray,190,564496,0,0,100%,0%,0.00,564496,0,0,0,0,NA,0,0,NA,0,0,NA,95933,0,0,30093,0,0,8243,0,0,22%,0%,0%,127,-58367,0,380103
2016,SA Murray,193,564496,0,0,100%,0%,0.00,564496,0,0,0,0,NA,0,0,NA,0,0,NA,99133,0,0,43725,0,0,8243,0,0,25%,0%,0%,254,13356,0,376386
2017,SA Murray,361,564496,0,0,100%,0%,0.00,564496,0,0,0,0,NA,0,0,NA,0,78465,NA,99133,0,0,45581,0,0,10263,0,0,26%,0%,0%,87,-86103,0,392029
2018,SA Murray,178,564496,0,0,100%,0%,0.00,564496,0,0,0,0,NA,0,0,NA,0,0,NA,99133,0,0,45581,0,0,10263,0,0,26%,0%,0%,134,8809,0,428591
2019,SA Murray,148,564496,0,0,100%,0%,0.00,564496,0,0,0,0,NA,0,0,NA,0,0,NA,99133,0,0,50592,0,0,10263,0,0,27%,0%,0%,437,34994,0,449765
2020,SA Murray,204,564496,0,0,100%,0%,0.00,564496,0,0,0,0,NA,0,0,NA,0,0,NA,99133,0,0,50592,0,0,10263,0,0,27%,0%,0%,638,-16384,0,398387
2021,SA Murray,185,564496,0,0,100%,0%,0.00,564496,0,0,0,0,NA,0,0,NA,0,0,NA,99133,0,0,50592,0,0,10263,0,0,27%,0%,0%,175,0,0,414771
2001,VIC Goulburn-Broken,428,1063852,459391,0,100%,0%,0.00,1063852,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,52,8557,0,1072409
2002,VIC Goulburn-Broken,295,1063852,459391,0,100%,0%,0.00,1063852,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,152,18151,0,1082003
2003,VIC Goulburn-Broken,260,1063852,459391,0,57%,0%,0.00,606396,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,526,27547,0,633943
2004,VIC Goulburn-Broken,313,1063852,459391,0,100%,0%,0.00,1063852,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,117,-27273,0,1036579
2005,VIC Goulburn-Broken,428,1063852,459391,0,100%,0%,0.00,1063852,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,78,-26186,0,1037666
2006,VIC Goulburn-Broken,382,1063852,459391,0,100%,0%,0.00,1063852,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,74,47244,0,1111096
2007,VIC Goulburn-Broken,241,1063852,459391,0,29%,0%,0.00,308517,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,676,39580,0,323057
2008,VIC Goulburn-Broken,286,1063852,459391,0,56%,0%,0.00,595841,0,0,0,0,NA,0,0,NA,0,25040,0,693,370,0,0,0,0,0,0,0,0%,0%,0%,775,-66908,0,446871
2009,VIC Goulburn-Broken,276,1063852,459391,0,32%,0%,0.00,344960,0,0,0,0,NA,0,0,NA,0,106767,0,44422,4070,0,0,0,0,0,0,0,4%,1%,0%,496,172343,0,498642
2010,VIC Goulburn-Broken,468,1063852,459391,0,70%,0%,0.00,745469,0,0,0,56,NA,0,3238,NA,0,111210,0,99293,10511,0,0,0,0,0,0,0,9%,2%,0%,241,49000,0,473052
2011,VIC Goulburn-Broken,831,1063852,459391,0,100%,1%,0.00,1063852,3436,0,0,27479,NA,0,20437,NA,0,385681,0,153548,10553,0,4339,0,0,0,0,0,15%,2%,0%,38,-3941,0,271398
2012,VIC Goulburn-Broken,511,1063852,459391,0,100%,1%,0.00,1063852,3436,0,0,141938,NA,0,254665,NA,0,1082236,0,186628,10553,0,12558,0,0,96300,31894,0,19%,2%,0%,22,9813,0,629994
2013,VIC Goulburn-Broken,238,1063852,459391,0,100%,1%,0.00,1063852,3436,0,0,357740,NA,0,169240,NA,0,990569,0,186628,10553,0,13085,0,0,96300,31894,0,19%,2%,0%,48,-47156,0,827128
2014,VIC Goulburn-Broken,388,1063852,459391,0,100%,1%,0.00,1063852,3436,0,0,0,0,0,48852,6274,0,455233,86290,186874,10577,0,25369,0,0,96300,31894,0,20%,2%,0%,82,-32630,0,745194
2015,VIC Goulburn-Broken,266,1063852,459391,0,100%,1%,0.00,1063852,3436,0,0,0,0,0,27489,3918,0,463684,60177,187260,10577,0,34427,0,0,96300,31894,0,21%,2%,0%,128,-37392,0,943317
2016,VIC Goulburn-Broken,339,1063852,459391,0,89%,0%,0.00,945409,0,0,0,0,0,0,29948,7491,0,303121,58372,187260,10577,0,34427,0,0,96300,31894,0,21%,2%,0%,256,29066,22864,739772
2017,VIC Goulburn-Broken,531,1063852,459391,0,100%,1%,0.00,1060159,3345,0,0,0,0,0,54604,6083,0,390974,108121,187260,10577,0,34427,0,0,96300,31894,0,21%,2%,0%,80,78589,0,550060
2018,VIC Goulburn-Broken,359,1063852,459391,0,99%,1%,0.00,1056619,3345,0,0,0,0,0,35239,5056,0,729880,124509,187260,10577,0,34427,0,0,96300,31894,0,21%,2%,0%,108,-103786,0,969184
2019,VIC Goulburn-Broken,288,1063852,459391,0,99%,0%,0.00,1052748,0,0,0,15,0,0,36949,12010,0,439441,97516,187260,10577,0,34427,0,0,96300,31894,0,21%,2%,0%,430,-146974,20837,796205
2020,VIC Goulburn-Broken,399,1063852,459391,0,79%,0%,0.00,837334,0,0,0,0,0,0,29563,5587,0,420219,192215,187260,10577,0,34427,0,0,96300,31894,0,21%,2%,0%,509,-72002,0,438387
2021,VIC Goulburn-Broken,356,1063852,459391,0,100%,1%,0.00,1063852,3345,0,0,0,0,0,57313,11654,0,478799,122311,187260,10577,0,34427,0,0,96300,31894,0,21%,2%,0%,128,0,0,602358
2001,VIC Loddon-Campaspe,410,44857,27253,0,100%,63%,0.00,44857,17108,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,52,-4229,0,57736
2002,VIC Loddon-Campaspe,302,44857,27253,0,100%,42%,0.00,44857,11405,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,152,-6351,0,49911
2003,VIC Loddon-Campaspe,270,44857,27253,0,79%,0%,0.00,35659,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,526,-21821,0,13838
2004,VIC Loddon-Campaspe,296,44857,27253,0,84%,0%,0.00,37798,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,117,-1766,0,36032
2005,VIC Loddon-Campaspe,395,44857,27253,0,68%,0%,0.00,30543,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,78,-2686,0,27857
2006,VIC Loddon-Campaspe,370,44857,27253,0,64%,0%,0.00,28666,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,74,36763,0,65429
2007,VIC Loddon-Campaspe,288,44857,27253,0,0%,0%,0.00,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,676,9179,0,9179
2008,VIC Loddon-Campaspe,257,44857,27253,0,12%,0%,0.00,5293,0,0,0,0,NA,0,0,NA,0,0,0,335,0,0,0,0,0,0,0,0,1%,0%,0%,775,-17722,0,0
2009,VIC Loddon-Campaspe,268,44857,27253,0,0%,0%,0.00,0,0,0,0,0,NA,0,0,NA,0,2300,0,3385,0,0,0,0,0,0,0,0,8%,0%,0%,419,2206,0,2206
2010,VIC Loddon-Campaspe,488,44857,27253,0,1%,0%,0.00,642,0,0,0,0,NA,0,368,NA,0,2306,0,6680,923,0,0,0,0,0,0,0,15%,3%,0%,291,-134,0,0
2011,VIC Loddon-Campaspe,893,44857,27253,0,100%,70%,0.00,44857,19171,0,0,0,NA,0,12206,NA,0,2821,0,8136,923,0,0,0,0,0,0,0,18%,3%,0%,33,0,0,1919
2012,VIC Loddon-Campaspe,450,44857,27253,0,100%,70%,0.00,44857,19171,0,0,28504,NA,0,13323,NA,0,55753,0,9184,923,0,138,0,0,0,0,0,21%,3%,0%,23,17449,0,39284
2013,VIC Loddon-Campaspe,223,44857,27253,0,100%,70%,0.00,44857,19171,0,0,21650,NA,0,9270,NA,0,54601,0,9184,923,0,138,0,0,0,0,0,21%,3%,0%,47,6164,0,53580
2014,VIC Loddon-Campaspe,357,44857,27253,0,100%,32%,0.00,44857,8819,0,0,0,0,0,6430,2352,0,32064,1768,9184,923,0,310,0,0,0,0,0,21%,3%,0%,83,82070,0,132147
2015,VIC Loddon-Campaspe,262,44857,27253,0,100%,0%,0.00,44857,0,0,0,0,0,0,2012,0,0,34854,14830,9184,923,0,797,0,0,0,0,0,22%,3%,0%,125,-10817,0,24412
2016,VIC Loddon-Campaspe,290,44857,27253,0,75%,0%,0.00,33456,0,0,0,0,0,0,2428,752,0,19659,2000,9184,923,0,797,0,0,0,0,0,22%,3%,0%,254,6111,0,33493
2017,VIC Loddon-Campaspe,566,44857,27253,0,79%,70%,0.00,35295,19171,0,0,21341,12255,0,5801,3293,0,30924,16311,9184,923,0,797,0,0,0,0,0,22%,3%,0%,84,-19582,0,7701
2018,VIC Loddon-Campaspe,333,44857,27253,0,79%,34%,0.00,35598,9396,0,0,0,0,0,2343,340,0,34162,12463,9184,923,0,797,0,0,0,0,0,22%,3%,0%,107,-27281,0,13888
2019,VIC Loddon-Campaspe,306,44857,27253,0,100%,0%,0.00,44857,0,0,0,0,0,0,2285,732,0,26514,11233,9184,923,0,797,0,0,0,0,0,22%,3%,0%,430,-15144,0,21182
2020,VIC Loddon-Campaspe,390,44857,27253,0,80%,0%,0.00,35886,0,0,0,0,0,0,1686,273,0,28197,15919,9184,923,0,797,0,0,0,0,0,22%,3%,0%,508,-11827,0,12018
2021,VIC Loddon-Campaspe,387,44857,27253,0,100%,0%,0.00,44857,0,0,0,0,0,0,2491,179,0,22202,7281,9184,923,0,797,0,0,0,0,0,22%,3%,0%,127,0,0,29394
2001,VIC Murray Above,526,392854,98346,0,100%,100%,0.00,392854,98346,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,24,-275,0,490925
2002,VIC Murray Above,423,392854,98346,0,100%,100%,0.00,392854,98346,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,64,-8748,0,482452
2003,VIC Murray Above,258,392854,98346,0,100%,29%,0.00,392854,28520,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,310,-11204,0,410170
2004,VIC Murray Above,457,392854,98346,0,100%,0%,0.00,392854,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,138,8167,0,401021
2005,VIC Murray Above,503,392854,98346,0,100%,0%,0.00,392854,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,102,13174,0,406028
2006,VIC Murray Above,467,392854,98346,0,100%,44%,0.00,392854,43272,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,69,-35514,0,400612
2007,VIC Murray Above,270,392854,98346,0,95%,0%,0.00,373211,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,483,-25195,0,315999
2008,VIC Murray Above,364,392854,98346,0,43%,0%,0.00,168927,0,0,0,0,NA,0,0,NA,0,32017,0,4908,125,0,0,0,0,0,0,0,1%,0%,0%,721,30299,0,175187
2009,VIC Murray Above,320,392854,98346,0,35%,0%,0.00,137499,0,0,0,0,NA,0,0,NA,0,54224,0,22105,2591,0,0,0,0,0,0,0,6%,3%,0%,495,13251,0,142466
2010,VIC Murray Above,550,392854,98346,0,100%,0%,0.00,392854,0,0,0,113,NA,0,10421,NA,0,54804,0,36870,5674,0,0,0,0,0,0,0,9%,6%,0%,243,-10881,0,241785
2011,VIC Murray Above,958,392854,98346,0,100%,0%,0.00,392854,0,0,0,289,NA,0,44005,NA,0,158288,0,46440,5674,0,1144,0,0,0,0,0,12%,6%,0%,42,86835,0,147934
2012,VIC Murray Above,698,392854,98346,0,100%,0%,0.00,392854,0,0,0,51963,NA,0,46926,NA,0,437328,0,57083,5674,0,3850,0,0,37071,9072,0,16%,6%,0%,23,-11260,0,230452
2013,VIC Murray Above,356,392854,98346,0,100%,0%,0.00,392854,0,0,0,33114,NA,0,29851,NA,0,445209,0,57083,5674,0,3850,0,0,37071,9072,0,16%,6%,0%,48,-33025,0,396207
2014,VIC Murray Above,479,392854,98346,0,100%,0%,0.00,392854,0,0,0,190349,34151.46185,0,8652,2275,0,267069,46454.54744,57518,5674,0,11807,0,0,37071,9072,0,18%,6%,0%,82,45456,0,337955
2015,VIC Murray Above,436,392854,98346,0,100%,0%,0.00,392854,0,0,0,14461,7354.330215,0,9763,3721,0,134097,45027.36174,57582,5674,0,14292,0,0,37071,9072,0,18%,6%,0%,129,31079,0,358907
2016,VIC Murray Above,483,392854,98346,0,99%,0%,0.00,388925,0,0,0,0,0,0,9783,2188,0,141583,72508.73455,57582,5674,0,14292,0,0,37071,9072,0,18%,6%,0%,255,59137,0,337019
2017,VIC Murray Above,578,392854,98346,0,100%,0%,0.00,392854,0,0,0,87382,28999.76963,0,10281,2913,0,145108,43740.93783,57582,5674,0,14292,0,0,37071,9072,0,18%,6%,0%,81,46855,0,293390
2018,VIC Murray Above,452,392854,98346,0,100%,0%,0.00,392854,0,0,0,28789,15723.02904,0,8076,2555,0,168492,58430.66169,57582,5674,0,14292,0,0,37071,9072,0,18%,6%,0%,127,-7073,0,341255
2019,VIC Murray Above,403,392854,98346,0,100%,0%,0.00,392854,0,0,0,0,0,0,15745,6092,0,152905,88777.76784,57582,5674,0,14292,0,0,37071,9072,0,18%,6%,0%,438,22636,0,325773
2020,VIC Murray Above,454,392854,98346,0,66%,0%,0.00,259284,0,0,0,0,0,0,10246,3125,0,182658,110342.0956,57582,5674,0,14292,0,0,37071,9072,0,18%,6%,0%,533,65877,0,235016
2021,VIC Murray Above,489,392854,98346,0,100%,0%,0.00,392854,0,0,0,0,0,0,19546,3289,0,169339,61436.84122,57582,5674,0,14292,0,0,37071,9072,0,18%,6%,0%,135,0,0,270841
2001,VIC Murray Below,274,851894,213261,0,100%,100%,0.00,851894,213261,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,24,-597,0,1064558
2002,VIC Murray Below,182,851894,213261,0,100%,100%,0.00,851894,213261,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,64,-18970,0,1046185
2003,VIC Murray Below,163,851894,213261,0,100%,29%,0.00,851894,61846,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,310,-24296,0,889444
2004,VIC Murray Below,194,851894,213261,0,100%,0%,0.00,851894,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,138,17711,0,869605
2005,VIC Murray Below,267,851894,213261,0,100%,0%,0.00,851894,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,102,28568,0,880462
2006,VIC Murray Below,262,851894,213261,0,100%,44%,0.00,851894,93835,0,0,0,NA,0,194590,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,69,-77012,0,674127
2007,VIC Murray Below,208,851894,213261,0,95%,0%,0.00,809299,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,483,-54635,0,685236
2008,VIC Murray Below,152,851894,213261,0,43%,0%,0.00,366314,0,0,0,0,NA,0,0,NA,0,69429,0,500,193,0,0,0,0,0,0,0,0%,0%,0%,721,65701,0,383675
2009,VIC Murray Below,184,851894,213261,0,35%,0%,0.00,298163,0,0,0,0,NA,0,0,NA,0,117582,0,24595,2863,0,0,0,0,0,0,0,3%,1%,0%,490,28733,0,317066
2010,VIC Murray Below,349,851894,213261,0,100%,0%,0.00,851894,0,0,0,245,NA,0,22599,NA,0,118840,0,73468,5451,0,0,0,0,0,0,0,9%,3%,0%,240,-23595,0,528907
2011,VIC Murray Below,663,851894,213261,0,100%,0%,0.00,851894,0,0,0,626,NA,0,95424,NA,0,343243,0,133826,5451,0,1035,0,0,0,0,0,16%,3%,0%,41,188299,0,315186
2012,VIC Murray Below,291,851894,213261,0,100%,0%,0.00,851894,0,0,0,112679,NA,0,101757,NA,0,948335,0,170958,5451,0,3200,0,0,62870,15216,0,20%,3%,0%,24,-24418,0,469124
